0x80095AFE,0x03630C7C
0x0008FE70,0x03646189
0x0008A19A,0x0365B6CC
0x0008447B,0x03670C44
0x8007E714,0x036861F1
0x80078965,0x0369B7D3
0x00072B6E,0x036B0DE9
0x0006CD30,0x036C6433
0x00066EAA,0x036DBAB0
0x80060FDC,0x036F1160
0x8005B0C7,0x03706842
0x0005516B,0x0371BF56
0x0004F1C7,0x0373169C
0x000491DC,0x03746E13
0x800431AA,0x0375C5BB
0x8003D132,0x03771D93
0x00037073,0x0378759B
0x00030F6D,0x0379CDD3
0x8002AE21,0x037B263A
0x80024C8F,0x037C7ECF
0x8001EAB7,0x037DD793
0x00018899,0x037F3084
0x00012635,0x038089A3
0x0000C38B,0x0381E2EE
0x8000609C,0x03833C66
0x80FFFD67,0x0384960A
0x00FF99ED,0x0385EFD9
0x00FF362E,0x038749D3
0x80FED22A,0x0388A3F8
0x80FE6DE1,0x0389FE47
0x00FE0953,0x038B58C0
0x00FDA481,0x038CB362
0x00FD3F6A,0x038E0E2D
0x80FCDA0F,0x038F6920
0x80FC7470,0x0390C43B
0x00FC0E8D,0x03921F7E
0x00FBA866,0x03937AE8
0x00FB41FC,0x0394D678
0x80FADB4E,0x0396322E
0x80FA745D,0x03978E0A
0x00FA0D29,0x0398EA0B
0x00F9A5B2,0x039A4631
0x00F93DF8,0x039BA27B
0x80F8D5FB,0x039CFEE8
0x80F86DBB,0x039E5B79
0x00F80539,0x039FB82C
0x00F79C75,0x03A11502
0x00F7336F,0x03A271FA
0x80F6CA27,0x03A3CF13
0x80F6609D,0x03A52C4D
0x00F5F6D2,0x03A689A7
0x00F58CC5,0x03A7E721
0x80F52277,0x03A944BB
0x80F4B7E8,0x03AAA274
0x80F44D18,0x03AC004B
0x00F3E207,0x03AD5E40
0x00F376B6,0x03AEBC53
0x80F30B24,0x03B01A83
0x80F29F52,0x03B178CF
0x00F23340,0x03B2D737
0x00F1C6EE,0x03B435BB
0x00F15A5D,0x03B5945A
0x80F0ED8C,0x03B6F313
0x80F0807C,0x03B851E6
0x00F0132D,0x03B9B0D3
0x00EFA59F,0x03BB0FD9
0x00EF37D2,0x03BC6EF7
0x80EEC9C6,0x03BDCE2E
0x80EE5B7C,0x03BF2D7C
0x00EDECF3,0x03C08CE1
0x00ED7E2C,0x03C1EC5D
0x00ED0F28,0x03C34BEF
0x80EC9FE6,0x03C4AB96
0x80EC3066,0x03C60B52
0x00EBC0A9,0x03C76B23
0x00EB50AF,0x03C8CB08
0x80EAE078,0x03CA2B01
0x80EA7004,0x03CB8B0D
0x80E9FF54,0x03CCEB2B
0x00E98E67,0x03CE4B5B
0x00E91D3E,0x03CFAB9C
0x80E8ABD9,0x03D10BEE
0x80E83A38,0x03D26C51
0x00E7C85C,0x03D3CCC4
0x00E75644,0x03D52D46
0x00E6E3F1,0x03D68DD7
0x80E67163,0x03D7EE76
0x80E5FE9A,0x03D94F23
0x00E58B97,0x03DAAFDE
0x00E51859,0x03DC10A5
0x00E4A4E1,0x03DD7179
0x80E4312F,0x03DED258
0x80E3BD43,0x03E03343
0x00E3491E,0x03E19438
0x00E2D4BF,0x03E2F537
0x00E26027,0x03E45640
0x80E1EB56,0x03E5B752
0x80E1764C,0x03E7186D
0x00E1010A,0x03E87990
0x00E08B8F,0x03E9DABA
0x00E015DC,0x03EB3BEB
0x80DF9FF1,0x03EC9D23
0x80DF29CE,0x03EDFE61
0x00DEB374,0x03EF5FA4
0x00DE3CE3,0x03F0C0EC
0x80DDC61A,0x03F22238
0x80DD4F1B,0x03F38388
0x80DCD7E5,0x03F4E4DB
0x00DC6078,0x03F64631
0x00DBE8D5,0x03F7A789
0x80DB70FC,0x03F908E2
0x80DAF8ED,0x03FA6A3C
0x00DA80A9,0x03FBCB97
0x00DA082F,0x03FD2CF2
0x00D98F80,0x03FE8E4C
0x80D9169C,0x03FFEFA5
0x80D89D83,0x040150FD
0x00D82436,0x0402B252
0x00D7AAB5,0x040413A5
0x00D73100,0x040574F4
0x80D6B717,0x0406D63F
0x80D63CFA,0x04083786
0x00D5C2AA,0x040998C8
0x00D54827,0x040AFA04
0x00D4CD71,0x040C5B3A
0x80D45288,0x040DBC6A
0x80D3D76D,0x040F1D93
0x00D35C1F,0x04107EB4
0x00D2E09F,0x0411DFCC
0x80D264ED,0x041340DC
0x80D1E90A,0x0414A1E2
0x80D16CF6,0x041602DE
0x00D0F0B0,0x041763D0
0x00D0743A,0x0418C4B7
0x80CFF793,0x041A2592
0x80CF7ABC,0x041B8661
0x00CEFDB4,0x041CE723
0x00CE807C,0x041E47D8
0x00CE0315,0x041FA87F
0x80CD857E,0x04210918
0x80CD07B8,0x042269A2
0x00CC89C3,0x0423CA1C
0x00CC0B9F,0x04252A86
0x00CB8D4D,0x04268ADF
0x80CB0ECD,0x0427EB27
0x80CA901F,0x04294B5D
0x00CA1143,0x042AAB81
0x00C99239,0x042C0B92
0x00C91302,0x042D6B90
0x80C8939E,0x042ECB7A
0x80C8140D,0x04302B4F
0x00C7944F,0x04318B0F
0x00C71465,0x0432EAB9
0x00C6944F,0x04344A4D
0x80C6140D,0x0435A9CA
0x80C5939F,0x0437092F
